Firmware version:	0741705C3
File Creation Date:	14/07/2024 16:39:09
Battery Level:	 6.2
TideMaster S/N:	77065
Station ID:	01
Site info:	OSEANOGRAFI
Calibrated:	08/06/2021
Mode:	B52
Pressure units:	dBar
output format:	740
Pressure:
User Pressure cal:
Gain:	3486.8526
Offset:	-150.54563
Vale Pressure cal:
P0:	-3.078969e-9
P1:	0.003196
P2:	-1.746184
Wind speed units:	m\sec
Air Pressure units:	mBar
Air Temperature units:	DegC
Timestamp	Depth	Depth stdev	Wspeed	Wspeed stdev	Max Gust	Wdir	Wdir stdev	Air Pressure	Air Pressure stdev	Air Temperature	Air Temperature stdev	Dewpoint	Dewpoint stdev	Humidity	Humidity stdev	Batt	Status
15/07/2024 03:15:00	0.988	0.028	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 03:30:00	0.978	0.022	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 03:45:00	0.973	0.011	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 04:00:00	0.965	0.024	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 04:15:00	0.959	0.032	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 04:30:00	0.959	0.035	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 04:45:00	0.948	0.018	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 05:00:00	0.933	0.015	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 05:15:00	0.932	0.022	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 05:30:00	0.929	 0.03	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 05:45:00	0.923	0.026	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.5	0
15/07/2024 06:00:00	0.931	0.023	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 06:15:00	0.935	0.021	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 06:30:00	 0.94	0.024	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 06:45:00	0.939	0.015	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.4	0
15/07/2024 07:00:00	 0.95	0.026	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.4	0
15/07/2024 07:15:00	0.955	 0.02	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.4	0
15/07/2024 07:30:00	0.974	 0.03	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.4	0
15/07/2024 07:45:00	 0.97	0.013	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.4	0
15/07/2024 08:00:00	0.977	0.017	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 08:15:00	0.987	0.038	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 08:30:00	0.999	 0.02	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 08:45:00	0.997	0.028	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.4	0
15/07/2024 09:00:00	1.004	0.024	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.4	0
15/07/2024 09:15:00	0.997	0.041	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.4	0
15/07/2024 09:30:00	0.999	0.021	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 09:45:00	1.001	0.034	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 10:00:00	0.991	0.037	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 10:15:00	0.991	 0.02	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 10:30:00	0.981	0.039	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 10:45:00	 0.99	0.031	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 11:00:00	0.999	0.015	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 11:15:00	1.003	0.037	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 11:30:00	1.002	 0.03	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.4	0
15/07/2024 11:45:00	1.004	0.022	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.4	0
15/07/2024 12:00:00	1.021	0.029	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.4	0
15/07/2024 12:15:00	1.025	0.019	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.4	0
15/07/2024 12:30:00	1.022	0.029	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.4	0
15/07/2024 12:45:00	1.032	0.023	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.4	0
15/07/2024 13:00:00	1.046	0.029	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.4	0
15/07/2024 13:15:00	1.059	0.031	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.4	0
15/07/2024 13:30:00	1.079	 0.03	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.4	0
15/07/2024 13:45:00	1.081	0.017	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 14:00:00	1.098	0.031	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.2	0
15/07/2024 14:15:00	1.106	0.015	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 14:30:00	 1.13	 0.05	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 14:45:00	1.133	0.019	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 15:00:00	1.144	0.036	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 15:15:00	1.164	0.035	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 15:30:00	1.159	0.031	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 15:45:00	1.168	0.039	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 16:00:00	1.179	0.049	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 16:15:00	1.208	0.022	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 16:30:00	1.218	0.027	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 16:45:00	1.225	0.022	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 17:00:00	1.245	0.034	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 17:15:00	1.264	0.028	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 17:30:00	1.278	0.038	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 17:45:00	1.284	0.013	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 18:00:00	1.297	 0.03	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 18:15:00	1.303	0.027	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 18:30:00	1.321	0.022	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 18:45:00	1.345	0.018	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 19:00:00	1.345	0.016	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 19:15:00	1.358	0.027	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.1	0
15/07/2024 19:30:00	1.371	0.026	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 19:45:00	1.387	0.022	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
15/07/2024 20:00:00	1.387	0.021	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	6.3	0
